id,Name,Transition,Type of news,Icon,LAT_Y,LONG_X,Address,Town,Province,Can,Ownership,Date,What happened?,NumGoodSource,NumBadSource,Source 1,Source 2,Doc:Pub,Doc1:Pub1,Doc:SelfPub,Doc:Wiki,Doc:FishWrap,Doc:NewspaperCanada,Document4 - Unifor
1,Flin Flon Reminder,decrease,community paper,community paper : decrease,54.7687799,-101.87742,,Flin Flon,MB,Canada,independent,8/1/2015,"The independent Flin Flon Reminder reduced publication from a daily to three times a week as of April 29th 2005. In August 2015, the paper started publishing twice a week. ",0,3,https://en.wikipedia.org/wiki/The_Reminder_(Flin_Flon),,,,,https://en.wikipedia.org/wiki/The_Reminder_(Flin_Flon),http://fishwrap.ca/newspaper_changelog.html,http://www.newspaperscanada.ca/sites/default/files/2009%20Daily%20Newspapers%20Circulation%20Report%20FINAL.xlsx,
3,Langley Times,decrease,community paper,community paper : decrease,49.0743308,-122.5593218,,Langley,BC,Canada,Black Press,7/1/2009,"In early July 2009, the Langley Times, a Black Press community newspaper, dropped its publication schedule from three days to two. ",0,2,http://blackpress.ca/publications/?id=47,Langley Time staff,,,http://blackpress.ca/publications/?id=47,,,,UNIFOR paper closure spreadsheet
4,Penticton Western Daily News,closed,daily paper - free,daily paper - free : closed,49.4748806,-119.57673,,Penticton,BC,Canada,Black Press,6/24/2011,"The Penticton Western Daily News ceased daily publication in 2011. Black Press retains its community newspaper in Penticton, which is named the Penticton Western News. ",0,1,Black Press staff,,,,,,,,UNIFOR paper closure spreadsheet
5,Surrey Leader Daily ,closed,daily paper - free,daily paper - free : closed,49.1080727,-122.68522,,Surrey,BC,Canada,Black Press,2011,"The Surrey Leader Daily, a free daily newspaper owned by Black Press, ceased publishing in 2011. Black Press still has a community newspaper, the Surrey North Delta Leader. ",0,3,http://blackpress.ca/publications/?id=73,Newspapers Canada circulation numbers,,,http://blackpress.ca/publications/?id=73,,,Newspapers Canda 2010-2011 stats (not in 2011),UNIFOR paper closure spreadsheet
6,Terrace-Kitimat-Prince Rupert Northern Daily,closed,daily paper - free,daily paper - free : closed,54.266757,-129.38183,,Terrace/Kitimat/Prince Rupert,BC,Canada,Black Press,3/9/2012,"Terrace-Kitimat-Prince Rupert Northern Daily, a free daily newspaper owned by Black Press, ceased publishing in September 2012. This was another free daily newspaper experiment by Black Press. There remains a community newspaper in all three of the communities, as well as a tri-community weekly paper. ",1,2,http://www.northernsentinel.com/about_us/about_us_kitimat.html,,http://www.northernsentinel.com/about_us/about_us_kitimat.html,,,,http://fishwrap.ca/newspaper_changelog.html,,UNIFOR paper closure spreadsheet
7,Kelownanow.com,new,online,online : new,49.887959,-119.49337,1441 ELLIS STREET,Kelowna,BC,Canada,independent,6/12/2012,"KelownaNow, an online site, first appeared in 2012. ",1,0,https://who.is/whois/kelownanow.com,,https://who.is/whois/kelownanow.com,,,,,,
8,The Dunnville Chronicle ,closed,community paper,community paper : closed,42.9029105,-79.618017,,Dunnville,ON,Canada,Sun Media,11/28/2012,"The Dunnville Chronicle was closed by Sun Media in November, 2012, at the same time as the West Niagara News, leaving one newspaper that covers the entire Niagara region. ",2,0,http://j-source.ca/article/why-we-should-care-when-community-newspaper-shuts-down,http://www.sachem.ca/news/dunnville-chronicle-closes-its-doors/,http://j-source.ca/article/why-we-should-care-when-community-newspaper-shuts-down,http://www.sachem.ca/news/dunnville-chronicle-closes-its-doors/,,,,,
9,Barrhaven Independent,decrease,community paper,community paper : decrease,45.2784924,-75.757282,,Nepean,ON,Canada,Morris Group,2/1/2013,"Barrhaven Independent shifted from a weekly print to web only in the 1st quarter of 2012. However, they relaunched a print version in February 2013, which publishes the first and third Friday of the month. ",0,1,Barrhaven Independent staff,Newspapers Canada Year in Review - 2012,,,,,,Newspapers Canada Year in Review - 2012,
10,La Nouvelle,closed,community paper,community paper : closed,45.274333,-75.281808,,Embrun,ON,Canada,Transcontinental,2/14/2012,"La Nouvelle, a Transcontinental community paper, ceased publication in the first quarter of 2012. ",0,2,"https://en.wikipedia.org/wiki/Embrun,_Ontario#Media",,,,,"https://en.wikipedia.org/wiki/Embrun,_Ontario#Media",,Newspapers Canada Year in Review - 2012,
11,Markdale Standard,closed,community paper,community paper : closed,44.3192194,-80.647986,,Markdale,ON,Canada,Sun Media,9/1/2012,"Markdale Standard, a Sun Media community newspaper, ceased publication in the third quarter of 2012.",2,1,http://j-source.ca/article/why-we-should-care-when-community-newspaper-shuts-down,https://blogtoonnetwork.wordpress.com/2012/11/24/markdale-standard-and-comics/,http://j-source.ca/article/why-we-should-care-when-community-newspaper-shuts-down,https://blogtoonnetwork.wordpress.com/2012/11/24/markdale-standard-and-comics/,,,,Newspapers Canada Year in Review - 2012,
12,Infonews.ca,new,online,online : new,50.2670137,-119.2720107,,Vernon,BC,Canada,independent,1/1/2013,"The news section of infotel.ca, which  reports on Vernon, Kelowna, Penticton, and Kamloops, launched at the end of 2012.",0,0,Infotel staff & the Internet archive,,,,,,,,
13,The Charter,closed,community paper,community paper : closed,47.242147,-53.9633078,,Placentia,NL,Canada,Transcontinental,10/1/2013,In October 2013 TC Media closed Placentia community paper The Charter after 16 years of publishing.,0,1,Newspapers Canada Year in Review - 2013,,,,,,,Newspapers Canada Year in Review - 2013,
14,Chronicle Herald - Halifax,decrease (arrow),daily paper - paid,daily paper - paid : decrease (arrow),44.6462603,-63.574452,,Halifax,NS,Canada,independent,4/18/2013,Halifax Chronicle Herald combined the Sunday and Saturday editions of the paper.,2,1,http://j-source.ca/article/newspaper-war-brewing-chronicle-herald-expands-nova-scotia,http://thechronicleherald.ca/novascotia/1124069-the-chronicle-herald-launches-fresh-start-with-herald-weekend,http://j-source.ca/article/newspaper-war-brewing-chronicle-herald-expands-nova-scotia,http://thechronicleherald.ca/novascotia/1124069-the-chronicle-herald-launches-fresh-start-with-herald-weekend,,https://en.wikipedia.org/wiki/The_Chronicle_Herald,,,
15,Lindsay Post,closed,community paper,community paper : closed,44.3432311,-78.740066,,Lindsay,ON,Canada,Quebecor,6/13/2013,"The Quebecor-owned The Lindsay Post ceased publication in 2013. At the time of closure it appeared twice per week on Tuesdays and Fridays. Back in May 2007, when the paper was owned by Osprey Media, the paper changed its name from The Daily Post to The Lindsay Post to reflect its change from publishing Monday to Friday to Tuesdays and Fridays.",1,1,http://www.cbc.ca/news/business/sun-media-axes-11-newspapers-360-jobs-1.1385447,,http://www.cbc.ca/news/business/sun-media-axes-11-newspapers-360-jobs-1.1385447,,,https://en.wikipedia.org/wiki/The_Lindsay_Post,,,
16,Oakville Beaver ,decrease,community paper,community paper : decrease,43.467517,-79.6876659,,Oakville,ON,Canada,Metroland,9/1/2014,"In September 2014 the Oakville Beaver, a Metroland newspaper, cancelled its Wednesday edition. The paper now publishes Thursday and Friday only.",0,2,https://en.wikipedia.org/wiki/Oakville_Beaver,,,,,https://en.wikipedia.org/wiki/Oakville_Beaver,,http://www.newspaperscanada.ca/news/industry/oakville-beaver-updates-publishing-schedule,
17,Metro London,closed,daily paper - free,daily paper - free : closed,42.9898476,-81.275895,,London,ON,Canada,Metroland,12/9/2014,"Metro London, a free daily paper launched by Metro Canada on April 4, 2011, closed in late 2014.",0,3,http://metronews.ca/about/,,,,http://metronews.ca/about/,,http://fishwrap.ca/newspaper_changelog.html,http://www.newspaperscanada.ca/news/industry/three-metro-newspapers-move-digital-only-format,
18,Metro Regina,closed,daily paper - free,daily paper - free : closed,50.4469849,-104.60473,,Regina,SK,Canada,Metroland,12/9/2014,"In April 2012, Metro Canada launched Metro Regina with a daily print edition, website and mobile apps. It closed in the third quarter of 2014. ",0,2,http://metronews.ca/about/,,,,http://metronews.ca/about/,,,http://www.newspaperscanada.ca/news/industry/three-metro-newspapers-move-digital-only-format (and stats),
19,Metro Saskatoon,closed,daily paper - free,daily paper - free : closed,52.1332144,-106.6700458,,Saskatoon,SK,Canada,Metroland,12/9/2014,"In April 2012, Metro Canada launched Metro Saskatoon with a daily print edition, website and mobile apps. It closed in the third quarter of 2014. ",0,2,http://metronews.ca/about/,,,,http://metronews.ca/about/,,,http://www.newspaperscanada.ca/news/industry/three-metro-newspapers-move-digital-only-format (and stats),
20,Halifax Daily News,closed,daily paper - paid,daily paper - paid : closed,44.6998068,-63.595004,,Halifax,NS,Canada,Transcontinental,2/12/2008,"Halifax Daily News, a paid daily paper owned by Transcontinental, closed in early 2008.",0,2,https://en.wikipedia.org/wiki/The_Daily_News_(Halifax),,,,,https://en.wikipedia.org/wiki/The_Daily_News_(Halifax),http://fishwrap.ca/newspaper_changelog.html,,
21,Metro Halifax,new,daily paper - free,daily paper - free : new,44.6482749,-63.576838,,Halifax,NS,Canada,Metroland,2/13/2008,Metroland launched the free daily newspaper Metro Halifax in early 2008. It replaced Halifax Daily News. ,0,2,http://metronews.ca/about/,,,,http://metronews.ca/about/,,http://fishwrap.ca/newspaper_changelog.html,,
23,Ottawa RushHour,closed,daily paper - free,daily paper - free : closed,45.3127426,-75.764658,,Ottawa,ON,Canada,CanWest,4/1/2008,"Ottawa RushHour, a free daily paper launched by CanWest, closed in April 2008, after surviving for just over a year.",0,4,http://fishwrap.ca/newspaper_changelog.html,,,,,http://fishwrap.ca/newspaper_changelog.html,http://www.newspaperinnovation.com/index.php/2009/07/27/rushhour-silently-ended/,http://www.newspaperscanada.ca/sites/default/files/2009%20Daily%20Newspapers%20Circulation%20Report%20FINAL.xlsx,UNIFOR paper closure spreadsheet
24,Calgary RushHour,closed,daily paper - free,daily paper - free : closed,51.045961,-114.07984,,Calgary,AB,Canada,CanWest,4/1/2008,"Calgary RushHour, a free daily paper launched by CanWest, closed in April 2008, after surviving for just over a year.",1,3,http://www.newspaperinnovation.com/index.php/2009/07/27/rushhour-silently-ended/,,http://www.newspaperinnovation.com/index.php/2009/07/27/rushhour-silently-ended/,,,,http://fishwrap.ca/newspaper_changelog.html,http://www.newspaperscanada.ca/sites/default/files/2009%20Daily%20Newspapers%20Circulation%20Report%20FINAL.xlsx,UNIFOR paper closure spreadsheet
25,Edmonton RushHour,closed,daily paper - free,daily paper - free : closed,53.544389,-113.4909267,,Edmonton,AB,Canada,CanWest,4/1/2008,"Edmonton RushHour, a free daily paper launched by CanWest, closed in April 2008, after surviving for just over a year.",1,3,http://www.newspaperinnovation.com/index.php/2009/07/27/rushhour-silently-ended/,,http://www.newspaperinnovation.com/index.php/2009/07/27/rushhour-silently-ended/,,,,http://fishwrap.ca/newspaper_changelog.html,http://www.newspaperscanada.ca/sites/default/files/2009%20Daily%20Newspapers%20Circulation%20Report%20FINAL.xlsx,UNIFOR paper closure spreadsheet
26,24 Heures - Gatineau,closed,daily paper - free,daily paper - free : closed,45.4765446,-75.7012723,,Gatineau,QC,Canada,Quebecor,5/9/2008,"Quebecor-owned 24 Heures Gatineau-Ottawa, a free daily newspaper, ceased publication on May 9, 2008.",0,3,http://www.newspaperscanada.ca/sites/default/files/2009%20Daily%20Newspapers%20Circulation%20Report%20FINAL.xlsx,,,,,,http://fishwrap.ca/newspaper_changelog.html,http://www.newspaperscanada.ca/sites/default/files/2009%20Daily%20Newspapers%20Circulation%20Report%20FINAL.xlsx,UNIFOR paper closure spreadsheet
28,NewsKamloops.com,new,online,online : new,50.674522,-120.3272674,,Kamloops,BC,Canada,independent,8/19/2008,"Armchairmayor.com, a blog run by a former mayor and reporter, added news coverage when the Kamloops Daily News closed. On August 2, 2015 it transformed into NewsKamloops.com, adding sections and staff members.  ",2,1,http://www.ljr.ca/2014/06/03/staying-in-the-loop/,http://armchairmayor.ca/2015/08/02/big-changes-in-store-for-armchair-mayor-news-as-it-becomes-part-of-new-site-newskamloops-com/,http://www.ljr.ca/2014/06/03/staying-in-the-loop/,http://armchairmayor.ca/2015/08/02/big-changes-in-store-for-armchair-mayor-news-as-it-becomes-part-of-new-site-newskamloops-com/,http://armchairmayor.ca/2008/08/19/welcome-to-my-blog/,,,,
29,Around the Block,new,community paper,community paper : new,45.2733401,-66.0627864,15 Market Square,Saint John,NB,Canada,independent,10/1/2008,"Around the Block, a community newspaper that publishes every two months, began publishing in 2008.  It features articles written by local residents, and focuses on several neighbourhoods. ",1,0,http://vibrantcanada.ca/resource-library/neighbourhood-revitalization-economic-development/around-block-citizen-generated-co,,http://vibrantcanada.ca/resource-library/neighbourhood-revitalization-economic-development/around-block-citizen-generated-co,,,,,,
30,Jasper Booster ,closed,community paper,community paper : closed,52.879137,-118.08579,,Jasper,AB,Canada,Sun Media,3/11/2009,"Jasper Booster, a Sun-owned community newspaper, ceased publishing in March 2009. ",2,0,http://j-source.ca/article/opinion-closure-community-newspapers-represents-darker-and-more-serious-trend,http://www.cbc.ca/news/canada/calgary/small-jasper-newspaper-folds-1.827667,http://j-source.ca/article/opinion-closure-community-newspapers-represents-darker-and-more-serious-trend,http://www.cbc.ca/news/canada/calgary/small-jasper-newspaper-folds-1.827667,,,,,
31,Morinville Redwater Town & Country Examiner,closed,community paper,community paper : closed,53.9505839,-113.1088853,,Redwater,AB,Canada,Sun Media,3/11/2009,"The Morinville Redwater Town and Country Examiner was born in November 2008 with the merging of the Morinville Mirror and Redwater Tribune. The paper was shuttered several months later, due to financial reasons. ",2,0,http://j-source.ca/article/opinion-closure-community-newspapers-represents-darker-and-more-serious-trend,http://torontosunfamily.blogspot.ca/2009/03/saying-goodbye.html,http://j-source.ca/article/opinion-closure-community-newspapers-represents-darker-and-more-serious-trend,http://torontosunfamily.blogspot.ca/2009/03/saying-goodbye.html,,,,,
32,CHCA-TV,closed,TV - private,TV - private : closed,52.243285,-113.81081,,Red Deer,AB,Canada,CanWest,8/31/2009,"Red Deer, Alberta, remains one of the largest Canadian cities outside a major metropolitan market to operate without a TV station following the 2009 closure of the local CanWest station.",1,1,http://www.cbc.ca/news/canada/calgary/red-deer-tv-station-closes-1.833655,,http://www.cbc.ca/news/canada/calgary/red-deer-tv-station-closes-1.833655,,,"http://en.wikipedia.org/wiki/Media_in_Red_Deer,_Alberta#Television",,,
33,CKNX-TV,closed,TV - private,TV - private : closed,43.8879476,-81.3116601,,Wingham,ON,Canada,CTVglobemedia,8/31/2009,"CTV did not renew the licence of this local station, so it closed on August 2009. ",2,1,http://www.broadcasting-history.ca/index3.html?url=http%3A//www.broadcasting-history.ca/listings_and_histories/television/histories.php%3Fid%3D14%26historyID%3D33,http://archive.newswire.ca/en/story/463601/-a-television-stations-in-wingham-and-windsor-to-be-shut-down,http://www.broadcasting-history.ca/index3.html?url=http%3A//www.broadcasting-history.ca/listings_and_histories/television/histories.php%3Fid%3D14%26historyID%3D33,http://archive.newswire.ca/en/story/463601/-a-television-stations-in-wingham-and-windsor-to-be-shut-down,,https://en.wikipedia.org/wiki/CKNX-TV,,,
34,CKX-TV,closed,TV - private,TV - private : closed,49.8418598,-99.978337,,Brandon,MB,Canada,CTVglobemedia,10/2/2009,CKX aired CBC and A Channel programming; CTV decided to close the station when CBC chose not to renew its rebroadcasting agreement.,2,1,http://www.ctvnews.ca/community-hit-hard-as-brandon-station-goes-off-air-1.440089,http://archive.newswire.ca/en/story/517151/ctv-inc-places-ckx-tv-brandon-up-for-sale,http://www.ctvnews.ca/community-hit-hard-as-brandon-station-goes-off-air-1.440089,http://archive.newswire.ca/en/story/517151/ctv-inc-places-ckx-tv-brandon-up-for-sale,,"https://en.wikipedia.org/wiki/Media_in_Brandon,_Manitoba",,,
35,Nelson Daily News,closed,daily paper - paid,daily paper - paid : closed,49.490705,-117.29709,,Nelson,BC,Canada,Black Press,7/16/2010,Nelson Daily News' final print run was in July 2010 as new owner Black Press closed them a few weeks after buying them from Glacier Media.,0,2,http://www.troymedia.com/2010/07/15/closing-of-two-small-bc-dailies-is-good-business-new-owners-say/,https://en.wikipedia.org/wiki/Nelson_Daily_News,,,,,http://fishwrap.ca/newspaper_changelog.html,,UNIFOR paper closure spreadsheet
36,The Daily News,closed,daily paper - paid,daily paper - paid : closed,54.3098764,-130.32746,,Prince Rupert,BC,Canada,Black Press,7/16/2010,Prince Rupert Daily News' final print run was in July 2010 as new owner Black Press closed them a few weeks after buying them from Glacier Media.,0,3,Newspaper Canada circulation numbers,,,,,,http://fishwrap.ca/newspaper_changelog.html,"Was in the 2009 Newspaper Canada Paid Daily, not in the 2010 list",UNIFOR paper closure spreadsheet
36.5,Squamish Today,closed,daily paper - free,daily paper - free : closed,49.7016339,-123.1558121,,Squamish,BC,Canada,Glacier Media,3/1/2011,"Whistler Today was a local free daily that launched by Glacier Media in 2006. It had a different front page from Squamish Today, which allowed it to carry local news. It was closed in 2011. ",2,1,http://www.newspaperinnovation.com/index.php/north-america/canada/,http://www.whistlerquestion.com/news/local-news/a-new-daily-newspaper-for-whistler-1.1275947,http://www.newspaperinnovation.com/index.php/north-america/canada/,http://www.whistlerquestion.com/news/local-news/a-new-daily-newspaper-for-whistler-1.1275947,,,,,UNIFOR paper closure spreadsheet
37,Whistler Today,closed,daily paper - free,daily paper - free : closed,50.1187465,-122.94686,,Whistler,BC,Canada,Glacier Media,3/1/2011,"Squamish Today was a local free daily that launched by Glacier Media in 2006. It had a different front page from Whistler Today, which allowed it to carry local news. It was closed in 2011.",2,1,http://www.newspaperinnovation.com/index.php/north-america/canada/,http://www.whistlerquestion.com/news/local-news/a-new-daily-newspaper-for-whistler-1.1275947,http://www.newspaperinnovation.com/index.php/north-america/canada/,http://www.whistlerquestion.com/news/local-news/a-new-daily-newspaper-for-whistler-1.1275947,,,,,UNIFOR paper closure spreadsheet
